fetch_date,rank,id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated
2025-10-26,1,bitcoin,btc,Bitcoin,113399.0,2261193301515,34262315777.0,113851.0,111278.0,1.76981,2025-10-26T21:05:21.511Z
2025-10-26,2,ethereum,eth,Ethereum,4064.47,490586321635,20814867081.0,4094.23,3926.41,2.96306,2025-10-26T21:05:21.057Z
2025-10-26,3,tether,usdt,Tether,1.0,183117572463,65227177843.0,1.0,1.0,-0.00622,2025-10-26T21:05:23.043Z
2025-10-26,4,ripple,xrp,XRP,2.61,156747298075,2974645277.0,2.66,2.59,0.3667,2025-10-26T21:05:22.884Z
2025-10-26,5,binancecoin,bnb,BNB,1125.03,156550986745,1470364206.0,1138.46,1114.26,0.967,2025-10-26T21:05:21.059Z
2025-10-26,6,solana,sol,Solana,197.53,108572902665,4047209014.0,199.54,192.23,1.69179,2025-10-26T21:05:22.833Z
2025-10-26,7,usd-coin,usdc,USDC,0.999879,76242868733,8994786897.0,0.999906,0.999795,0.00178,2025-10-26T21:05:22.910Z
2025-10-26,8,staked-ether,steth,Lido Staked Ether,4063.99,34904451789,29299903.0,4090.55,3925.7,2.95419,2025-10-26T21:05:22.360Z
2025-10-26,9,dogecoin,doge,Dogecoin,0.201175,30469856621,1264400389.0,0.203379,0.194838,2.26727,2025-10-26T21:05:22.694Z
2025-10-26,10,tron,trx,TRON,0.299342,28315417203,730637865.0,0.300963,0.294547,0.50721,2025-10-26T21:05:22.802Z
2025-10-26,11,cardano,ada,Cardano,0.670144,24509988981,906194486.0,0.678931,0.646683,2.19077,2025-10-26T21:05:22.938Z
2025-10-26,12,wrapped-steth,wsteth,Wrapped stETH,4947.2,16396058626,8942983.0,4981.5,4779.76,2.95401,2025-10-26T21:05:22.404Z
2025-10-26,13,wrapped-bitcoin,wbtc,Wrapped Bitcoin,113558.0,14397168020,200470924.0,113867.0,111283.0,2.00157,2025-10-26T21:05:22.759Z
2025-10-26,14,wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,4386.79,14319830504,11037596.0,4418.32,4236.55,3.37143,2025-10-26T21:05:22.399Z
2025-10-26,15,figure-heloc,figr_heloc,Figure Heloc,1.0,13254517547,1500.0,1.001,0.190997,423.56953,2025-10-26T08:40:11.650Z
2025-10-26,16,hyperliquid,hype,Hyperliquid,46.81,12700958407,608343018.0,48.22,42.9,9.11117,2025-10-26T21:05:22.469Z
2025-10-26,17,chainlink,link,Chainlink,18.11,12625581323,568318319.0,18.44,17.72,0.11924,2025-10-26T21:05:11.538Z
2025-10-26,18,bitcoin-cash,bch,Bitcoin Cash,553.74,11048549715,511378670.0,563.55,505.86,9.1416,2025-10-26T21:05:22.742Z
2025-10-26,19,wrapped-eeth,weeth,Wrapped eETH,4387.61,10880333451,4833544.0,4419.19,4239.39,2.97199,2025-10-26T21:05:22.444Z
2025-10-26,20,stellar,xlm,Stellar,0.326892,10467910923,149315543.0,0.332331,0.322855,0.21081,2025-10-26T21:05:22.631Z
2025-10-26,21,ethena-usde,usde,Ethena USDe,0.999453,10379868620,274519674.0,1.001,0.998547,0.02667,2025-10-26T21:05:22.489Z
